"driver_number","driver_name","driver_abb","driver_total_seasons","driver_season_rank","driver_season_points","driver_season_gps","driver_season_wins","driver_season_podiums","driver_season_poles","driver_season_fastlaps","driver_season_leadlaps","driver_career_wins_avg","driver_career_podiums_avg","driver_career_poles","driver_career_fastlaps","driver_career_gps","driver_career_season","team_name","team_season_wins","team_season_podiums","team_season_poles","team_season_fastlaps","team_season_leadlaps","team_season_points","team_average_wins","team_average_podiums","team_total_gps","team_seasons","circuit_country","circuit_name","circuit_length","circuit_temp","circuit_rain","quali_pos","quali_time","race_pos"
1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,1,89.708,1
11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,2,89.846,2
14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,5,90.336,3
55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,4,90.154,4
44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,7,90.384,5
18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,8,90.836,6
63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,6,90.34,7
77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,12,91.443,8
10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,20,92.181,9
23,"A ALBON","ALB",4,13,21,15,0,0,0,0,0,0.0,0.03,0,0,73,4,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,15,91.461,10
